账户名称,日期,推广计划,推广组,关键词,计算机URL,移动URL,展示次数,点击次数,点击率,总费用,平均每次点击费用,产品线
85221501@qq.com,2019/09/01,062<痔疮>痔疮怎么治疗,2痣苍怎么治,庤疮怎么治,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500019612,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,062<痔疮>痔疮怎么治疗,6痔疮(初期)怎么治疗,痔疮前期怎么治疗,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500019524,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,101[预约词]痔疮,[手术]痔疮手术,pph痔疮手术,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500018951,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,100[预约词]肛肠医院,[检查]肛肠镜,电子肛门镜检查多少钱,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500018288,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,100[预约词]肛肠医院,[检查]肛肠镜,肛肠镜,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500018280,5,2,40.00%,2.10,1.05,搜索推广
85221501@qq.com,2019/09/01,100[预约词]肛肠医院,[检查]肛肠检查,肛肠检查要多少钱,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500018273,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,100[预约词]肛肠医院,[医院]肛肠医院,肛肠医院,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500018158,7,1,14.29%,3.79,3.79,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,P屁股长痔疮(怎么办),屁股上长了痔疮怎么办,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500018049,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,屁股上长112,屁股上长了个硬疙瘩,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500017949,39,1,2.56%,1.53,1.53,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,屁股上长112,屁股上长疙瘩,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500017948,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,屁股上长112,屁股上长了个肉疙瘩是什么,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500017947,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,42屁股(出血),屁股拉屎出血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500017120,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,62大便有血(纸上),擦屁股纸上有血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500017101,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,14大便屁股出血什么为事,大便屁股出血什么为事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016976,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,WAP[屁股]症状,28为什么拉屎会出血,为什么拉屎屁股会出血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016944,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,大便便血(是什么回事),经常大便便血是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016927,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,大便便血(是什么回事测试),大便有便血是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016910,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,4大便出血怎么回事,大便会便血怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016889,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,25上大便出血怎么回事,上厕所大便出血是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016817,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,拉血怎么回事,拉出血怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016550,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,18大便中带血怎么回事,大便中带血怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016526,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,0大便时出血怎么回事,大便带脓血是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016497,6,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,便血怎么回事-8字,便出血是什么原因,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016493,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,15大便时有血怎么回事,大便的时候有血是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016272,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,007<便血>便血-怎么回事,11大便拉血是怎么回事,大便时拉血是怎么回事,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500016204,3,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,031<深圳>(肛肠医院),肛肠科,肛肠,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500015994,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,049<痔疮>基础词,痔疮(男性),男人痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500015347,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,049<痔疮>基础词,痔疮与息肉(区别),息肉与痔疮区别,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500015343,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,049<痔疮>基础词,H混合痔名词,混合痣,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500015244,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,164-痔疮+怎么治,怎么治痔疮出血,怎样治痔疮大便出血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500013745,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,164-痔疮+怎么治,得了痔疮怎么治,痔疮的症状怎么治疗,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500013665,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,110[痔疮]排位词,痔疮流量词,痔疮便血,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012929,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,110[痔疮]排位词,痔疮流量词,痔疮图片,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012924,8,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛周脓肿症状,肛周脓肿的症状是什么,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012883,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛周脓肿症状,肛门脓肿的症状有哪些,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012880,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛门息肉常见症状,肛门息肉主要症状,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012496,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛门小息肉,肛门外息肉,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012195,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛周脓肿(怎么形成),肛周脓肿是怎么形成的,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012176,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛周肿块,肛周脓肿,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012153,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛门脓肿,肛周皮下脓肿,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012066,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,070<新加>肛周脓肿,肛周脓肿手术要多少钱,肛门脓肿手术要多少钱,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500012039,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,104[预约词]肛瘘,[手术]肛瘘手术,肛瘘不开刀四种方法,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011725,4,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,104[预约词]肛瘘,[治疗]肛瘘治疗,肛瘘的最佳治疗方法,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011710,13,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,怎样才知道得了痔疮,怎么知道自己有痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011661,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,痔疮一定,痔疮一定会痛吗,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011623,4,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,(什么是)痔疮,什么叫做痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011540,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,痔疮吃什么好,得了痔疮吃什么好,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011528,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,痔疮吃什么好,有痔疮吃什么好,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011527,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,痔疮里面是什么,痔疮里面是什么,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011520,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,为什么生痔疮,为什么得痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011482,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,为什么生痔疮,为什么会的痔疮,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011470,1,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,051<痔疮>疑问词,痔疮(什么病),痔疮长在什么位置,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011457,2,0,0.00%,0.00,0.00,搜索推广
85221501@qq.com,2019/09/01,045<深圳>痔疮医院,45痔疮医院(杂),血栓性痔疮的医院,,http://360mo.0755gc.net/zhzzt3/wx105/?utm_source=360m85&8500011131,9,0,0.00%,0.00,0.00,搜索推广
