数据生成时间：2019-09-04 16:37
数据生成条件：
1. 时间范围：20190901至20190903
2. 时间单位：分日
3. 推广设备：移动设备，计算机
4. 投放网络：全部

账户,日期,推广计划,推广单元,关键词,搜索词,账户添加状态,展现,点击,消费,平均点击价格,网页转化,商桥转化
"远大肛肠医院13","2019-09-01","012便血原因(3)","C_11_2_便血原因（上厕所）","上厕所大便拉出血是什么原因","拉屎流鲜血","未添加",3,2,1.90,0.95,0,0
"远大肛肠医院13","2019-09-01","012便血原因(3)","C_3_2_便血原因（屁眼）","屁眼流血是什么情况","屁眼流血是什么症状","未添加",3,1,0.69,0.69,0,0
"远大肛肠医院13","2019-09-01","012便血原因(3)","C_64_2_便血原因（导致）","大便时出血是啥回事","便血咋回事","已添加",6,1,0.55,0.55,0,0
"远大肛肠医院13","2019-09-01","wap-077地域词医院词","肛肠治疗（杂）","哪位肛肠大夫好","医生大夫","未添加",5,1,0.43,0.43,0,0
"远大肛肠医院13","2019-09-01","wap-088肛门疾病[665]","肛门胀痛","肛门里面胀痛","肛门里边弯腰给做下,里面有点胀痛,啥缘因呢?","未添加",2,1,0.57,0.57,0,0
"远大肛肠医院13","2019-09-01","X<新加>脱肛","B脱肛","脱肛了","大便脱肛图片","未添加",1,1,0.38,0.38,0,0
"远大肛肠医院13","2019-09-01","X<新加>肛瘘","肛瘘怎么引起的","啥是肛瘘","肛瘘的症状是什么图片","未添加",1,1,0.33,0.33,0,0
"远大肛肠医院13","2019-09-01","X<便血>大号/拉屎出血","65上厕所出血(是什么原因)","大便一直流血","腔门口一直想拉大便","未添加",1,1,0.67,0.67,0,0
"远大肛肠医院13","2019-09-01","X<新加><肛周脓肿>","肛周脓肿(疼吗)","肛周脓肿手术疼吗","肛周脓肿手术痛吗","已添加",1,1,0.54,0.54,0,0
"远大肛肠医院13","2019-09-01","X<新加><肛周脓肿>","B肛周脓肿(手术)","肛周脓肿不动手术","肛周脓肿是不是小手术","未添加",1,1,0.44,0.44,0,0
"远大肛肠医院13","2019-09-01","X<肛门>(肛门口)","42肛门(长肉球)痒+长 36","大便后肛门痒是怎么回事","拉粑粑的地方痒怎么办","未添加",1,1,0.53,0.53,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-短语","101大便带血回事9字","上厕所拉的屎有血","上厕所大便有血","已添加",1,1,1.23,1.23,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-短语","101大便带血回事9字","拉屎拉血是怎么回事","拉屎拉出血怎么回事","已添加",3,1,1.13,1.13,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-短语","45便血(有时)","上火拉屎出血怎么办","拉屎频繁怎么回事","未添加",1,1,0.79,0.79,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","6大便便血(什么原因)","大便出血的原因有几种","大便出血鲜红怎么办","已添加",3,1,0.63,0.63,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","6大便便血(什么原因)","大便出血的原因有几种","便血的原因有哪些","已添加",1,1,0.66,0.66,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","6大便便血(什么原因)","大便出血的原因有几种","大便出血怎么回事","已添加",1,1,1.21,1.21,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","大便出血什么原因","大便出血原因是什么","大便出血什么引起的","已添加",2,1,1.20,1.20,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","大便滴血怎么办","大便疼怎么办","腰痛总想大便怎么回事","未添加",1,1,0.61,0.61,0,0
"远大肛肠医院13","2019-09-01","X<便血>便血-原因","27突然便血原因","突然便血的原因有哪些","便血的原因及治疗","已添加",1,1,0.78,0.78,0,0
